gros,0.001942710132991426,**
fuck,0.0011037134309650918,**
putain,0.0009573598000850588,**
shit,0.0006113985228669988,**
baise,0.0005276551143915753,**
merde,0.0003844641152902327,**
cul,0.0003677385861992824,**
nique,0.0003626697745591663,**
gueule,0.00033230772751933563,**
couilles,0.0003203782654103047,**
bâtard,0.00029133529403109145,**
chatte,0.0002321411191059351,**
salope,0.0002214163831413916,**
enculé,0.0001923163906213099,**
foutre,0.00018396510518154486,**
putes,0.00015256404043215776,**
connard,0.00014432952460954667,**
baiser,0.00013181976680014945,**
chier,8.70875260335478e-05,**
pétasses,8.543494093372426e-05,**
enfoiré,4.9764910066475446e-05,**
embrouilles,4.39410872767526e-05,**
conneries,1.537084641630866e-05,**
bitches,7.722902266671827e-06,**
bien,0.002705159349147097,aime
coeur,0.0026022713184178513,aime
amour,0.002080063764541222,aime
aime,0.0016755560152675718,aime
mieux,0.0016742338442716717,aime
belle,0.0012198499541908893,aime
love,0.0011419281385663038,aime
poto,0.0005666101238875111,aime
amis,0.0004979883735497518,aime
ensemble,0.00039161420556165665,aime
préfère,0.00036013137467284773,aime
souris,0.00030262397044852587,aime
pote,0.00029361721132887473,aime
aimerais,0.0002633621629114698,aime
sourire,0.0001867769735600747,aime
potes,0.0001767326086886028,aime
préféré,0.0001062800713702187,aime
aimait,2.545715694471239e-05,aime
amitié,6.791671542819969e-06,aime
défoncé,0.00021667933273863526,alcool
whisky,0.00019481582850764637,alcool
bois,0.0001248573205377087,alcool
boire,6.282115054627433e-05,alcool
scotch,4.741583688952085e-05,alcool
alcool,4.518908982950634e-05,alcool
cocktail,4.1942199745754204e-05,alcool
rres-ve,3.894032602166576e-05,alcool
rre-ve,3.43328828664305e-05,alcool
vin,1.7497200447928298e-05,alcool
bistrot,9.467814165743503e-06,alcool
alcoolique,8.996851102114263e-06,alcool
bière,7.442248154322447e-06,alcool
bourrés,7.041013906002485e-06,alcool
sous,0.0026234626751821402,argent
billets,0.0010456522987071107,argent
cash,0.0009211964693071444,argent
monnaie,0.0008457901089651891,argent
biff,0.0008223311120051434,argent
maille,0.0005650715942488915,argent
lovés,0.00047884260350641855,argent
oseille,0.000426604569605245,argent
moula,0.0003966645502028766,argent
paye,0.0003768267039489642,argent
money,0.0002842756360770039,argent
dollars,0.0002640376790230518,argent
euros,0.00025497840599834236,argent
fric,0.00022474329764977135,argent
blé,0.00014730649889080003,argent
mula,0.00013966805558788598,argent
payer,8.947257888237885e-05,argent
pièces,7.337116024261386e-05,argent
banque,5.647328881460031e-05,argent
thune,4.563051509715333e-05,argent
flouze,3.8562460573999554e-05,argent
pognon,2.1162246873606313e-05,argent
pèze,1.2578693143887236e-05,argent
portefeuille,6.9554088737106605e-06,argent
casino,6.2926325857685685e-06,argent
revendu,6.085982764496828e-06,argent
vie,0.003921297234541108,concepts_abstraits
monde,0.0015045742642602804,concepts_abstraits
temps,0.0014917907792569261,concepts_abstraits
sens,0.0013273382640725325,concepts_abstraits
années,0.0005053676053762214,concepts_abstraits
rêve,0.0004519814780224701,concepts_abstraits
life,0.0004423517230375213,concepts_abstraits
vérité,0.0003552286447351035,concepts_abstraits
chance,0.00034729456576681745,concepts_abstraits
paix,0.0002685035872140364,concepts_abstraits
avenir,0.00023456825855178092,concepts_abstraits
vivre,0.00022987584930432483,concepts_abstraits
âme,0.00016991061276176885,concepts_abstraits
question,0.0001674890742370867,concepts_abstraits
esprit,0.00014060432861900133,concepts_abstraits
destin,0.00010991416065059595,concepts_abstraits
questions,9.851539896113036e-05,concepts_abstraits
libre,8.063407813347967e-05,concepts_abstraits
société,5.7288920748894817e-05,concepts_abstraits
loi,4.1940747871155516e-05,concepts_abstraits
futur,3.822003083427955e-05,concepts_abstraits
conscience,2.011910510220492e-05,concepts_abstraits
future,1.4038831407673664e-05,concepts_abstraits
beuh,0.0008420159713179937,drogues
joint,0.00039702013114784935,drogues
drogue,0.0002775918070087736,drogues
fumé,0.0002008989652157035,drogues
grammes,0.00018062950009063586,drogues
fonce-dé,0.0001776040443531823,drogues
toxico',8.236553825879198e-05,drogues
toxicoman,8.236553825879198e-05,drogues
herbe,4.253348201288659e-05,drogues
high,2.763658283327888e-05,drogues
clope,1.6705031203990506e-05,drogues
cannabis,8.255086653983737e-06,drogues
as,0.004303938411489103,ego
beau,0.0003315800242667658,ego
boss,0.0001757600949488275,ego
pèse,5.664531513299901e-05,ego
génie,5.2794002029449244e-05,ego
beaux,5.000989790067676e-05,ego
maître,2.287068123295709e-05,ego
talent,1.8590743328026434e-05,ego
invincible,1.7685342388228603e-05,ego
swag,9.454208540931988e-06,ego
trop,0.004819319552397146,exagération
rien,0.0036083766574551562,exagération
jamais,0.003349442564001779,exagération
tous,0.002931384706463792,exagération
toujours,0.0025108940944256553,exagération
tellement,0.0007351565900808953,exagération
vraiment,0.0004888560668545479,exagération
aucun,0.00020171667652809196,exagération
mère,0.0008033835930971664,famille
fils,0.0007368225680254349,famille
famille,0.0007284350614936875,famille
frère,0.0004827479982142113,famille
frères,0.0004554199443039332,famille
garçon,0.0004116762893454804,famille
maman,0.0003733939428187251,famille
enfant,0.0003662570047809734,famille
mama,0.0003452571993427691,famille
mères,0.00014548065934457915,famille
cousin,0.00014469816650452427,famille
daronne,0.00013557779150277443,famille
soeur,0.0001343393580687729,famille
mif',0.00010112844066214147,famille
papa,9.872355976741373e-05,famille
enfants,7.242802190452112e-05,famille
grands-parents,6.221226825930078e-05,famille
grand-mère,2.8865072908073393e-05,famille
pères,2.3821325483682745e-05,famille
